ship,stw,wind_speed,wind_direction,power_without_wing,power_with_wing,id
FR35-2-Handymax-v2-Opt,12,1,140,3088.46,3088.46,430345
FR35-2-Handymax-v2-Opt,12,1,145,3087.3,3087.3,430346
FR35-2-Handymax-v2-Opt,12,1,150,3086.21,3086.21,430347
FR35-2-Handymax-v2-Opt,12,1,155,3085.21,3085.21,430348
FR35-2-Handymax-v2-Opt,12,1,160,3084.28,3084.28,430349
FR35-2-Handymax-v2-Opt,12,1,165,3083.45,3083.45,430350
FR35-2-Handymax-v2-Opt,12,1,170,3082.7,3082.7,430351
FR35-2-Handymax-v2-Opt,12,1,175,3082.04,3082.04,430352
FR35-2-Handymax-v2-Opt,12,1,180,3081.48,3081.48,430353
FR35-2-Handymax-v2-Opt,12,1.5,0,3124.86,3124.86,430354
FR35-2-Handymax-v2-Opt,12,1.5,5,3125.68,3125.68,430355
FR35-2-Handymax-v2-Opt,12,1.5,10,3126.22,3126.22,430356
FR35-2-Handymax-v2-Opt,12,1.5,15,3126.48,3126.48,430357
FR35-2-Handymax-v2-Opt,12,1.5,20,3126.46,3126.46,430358
FR35-2-Handymax-v2-Opt,12,1.5,25,3126.17,3126.17,430359
FR35-2-Handymax-v2-Opt,12,1.5,30,3125.62,3125.62,430360
FR35-2-Handymax-v2-Opt,12,1.5,35,3124.82,3124.82,430361
FR35-2-Handymax-v2-Opt,12,1.5,40,3123.77,3123.77,430362
FR35-2-Handymax-v2-Opt,12,1.5,45,3122.51,3122.51,430363
FR35-2-Handymax-v2-Opt,12,1.5,50,3121.05,3121.05,430364
FR35-2-Handymax-v2-Opt,12,1.5,55,3119.4,3119.4,430365
FR35-2-Handymax-v2-Opt,12,1.5,60,3117.59,3116.78,430366
FR35-2-Handymax-v2-Opt,12,1.5,65,3115.63,3114.02,430367
FR35-2-Handymax-v2-Opt,12,1.5,70,3113.57,3111.26,430368
FR35-2-Handymax-v2-Opt,12,1.5,75,3111.4,3108.54,430369
FR35-2-Handymax-v2-Opt,12,1.5,80,3109.16,3105.87,430370
FR35-2-Handymax-v2-Opt,12,1.5,85,3106.88,3103.28,430371
FR35-2-Handymax-v2-Opt,12,1.5,90,3104.56,3100.79,430372
FR35-2-Handymax-v2-Opt,12,1.5,95,3102.23,3098.42,430373
FR35-2-Handymax-v2-Opt,12,1.5,100,3099.92,3096.18,430374
FR35-2-Handymax-v2-Opt,12,1.5,105,3097.63,3094.09,430375
FR35-2-Handymax-v2-Opt,12,1.5,110,3095.38,3092.15,430376
FR35-2-Handymax-v2-Opt,12,1.5,115,3093.2,3090.38,430377
FR35-2-Handymax-v2-Opt,12,1.5,120,3091.08,3088.78,430378
FR35-2-Handymax-v2-Opt,12,1.5,125,3089.05,3087.36,430379
FR35-2-Handymax-v2-Opt,12,1.5,130,3087.11,3086.11,430380
FR35-2-Handymax-v2-Opt,12,1.5,135,3085.27,3085.04,430381
FR35-2-Handymax-v2-Opt,12,1.5,140,3083.54,3083.54,430382
FR35-2-Handymax-v2-Opt,12,1.5,145,3081.92,3081.92,430383
FR35-2-Handymax-v2-Opt,12,1.5,150,3080.42,3080.42,430384
FR35-2-Handymax-v2-Opt,12,1.5,155,3079.03,3079.03,430385
FR35-2-Handymax-v2-Opt,12,1.5,160,3077.76,3077.76,430386
FR35-2-Handymax-v2-Opt,12,1.5,165,3076.61,3076.61,430387
FR35-2-Handymax-v2-Opt,12,1.5,170,3075.58,3075.58,430388
FR35-2-Handymax-v2-Opt,12,1.5,175,3074.66,3074.66,430389
FR35-2-Handymax-v2-Opt,12,1.5,180,3073.86,3073.86,430390
FR35-2-Handymax-v2-Opt,12,2,0,3134.6,3134.6,430391
FR35-2-Handymax-v2-Opt,12,2,5,3135.72,3135.72,430392
FR35-2-Handymax-v2-Opt,12,2,10,3136.43,3136.43,430393
FR35-2-Handymax-v2-Opt,12,2,15,3136.75,3136.75,430394
FR35-2-Handymax-v2-Opt,12,2,20,3136.66,3136.66,430395
FR35-2-Handymax-v2-Opt,12,2,25,3136.19,3136.19,430396
FR35-2-Handymax-v2-Opt,12,2,30,3135.34,3135.34,430397
FR35-2-Handymax-v2-Opt,12,2,35,3134.15,3134.15,430398
FR35-2-Handymax-v2-Opt,12,2,40,3132.62,3132.62,430399
FR35-2-Handymax-v2-Opt,12,2,45,3130.79,3129.43,430400
FR35-2-Handymax-v2-Opt,12,2,50,3128.68,3125.78,430401
FR35-2-Handymax-v2-Opt,12,2,55,3126.34,3122.04,430402
FR35-2-Handymax-v2-Opt,12,2,60,3123.78,3118.23,430403
FR35-2-Handymax-v2-Opt,12,2,65,3121.04,3114.42,430404
FR35-2-Handymax-v2-Opt,12,2,70,3118.16,3110.63,430405
FR35-2-Handymax-v2-Opt,12,2,75,3115.17,3106.91,430406
FR35-2-Handymax-v2-Opt,12,2,80,3112.1,3103.29,430407
FR35-2-Handymax-v2-Opt,12,2,85,3108.98,3099.8,430408
FR35-2-Handymax-v2-Opt,12,2,90,3105.84,3096.49,430409
FR35-2-Handymax-v2-Opt,12,2,95,3102.72,3093.36,430410
FR35-2-Handymax-v2-Opt,12,2,100,3099.62,3090.45,430411
FR35-2-Handymax-v2-Opt,12,2,105,3096.59,3087.76,430412
FR35-2-Handymax-v2-Opt,12,2,110,3093.64,3085.32,430413
FR35-2-Handymax-v2-Opt,12,2,115,3090.79,3083.12,430414
FR35-2-Handymax-v2-Opt,12,2,120,3088.05,3081.17,430415
FR35-2-Handymax-v2-Opt,12,2,125,3085.44,3079.45,430416
FR35-2-Handymax-v2-Opt,12,2,130,3082.98,3077.98,430417
FR35-2-Handymax-v2-Opt,12,2,135,3080.66,3076.74,430418
FR35-2-Handymax-v2-Opt,12,2,140,3078.49,3075.73,430419
FR35-2-Handymax-v2-Opt,12,2,145,3076.49,3074.93,430420
FR35-2-Handymax-v2-Opt,12,2,150,3074.64,3074.35,430421
FR35-2-Handymax-v2-Opt,12,2,155,3072.94,3072.94,430422
FR35-2-Handymax-v2-Opt,12,2,160,3071.39,3071.39,430423
FR35-2-Handymax-v2-Opt,12,2,165,3069.99,3069.99,430424
FR35-2-Handymax-v2-Opt,12,2,170,3068.73,3068.73,430425
FR35-2-Handymax-v2-Opt,12,2,175,3067.6,3067.6,430426
FR35-2-Handymax-v2-Opt,12,2,180,3066.6,3066.6,430427
FR35-2-Handymax-v2-Opt,12,2.5,0,3144.69,3144.69,430428
FR35-2-Handymax-v2-Opt,12,2.5,5,3146.13,3146.13,430429
FR35-2-Handymax-v2-Opt,12,2.5,10,3147.02,3147.02,430430
FR35-2-Handymax-v2-Opt,12,2.5,15,3147.37,3147.37,430431
FR35-2-Handymax-v2-Opt,12,2.5,20,3147.19,3147.19,430432
FR35-2-Handymax-v2-Opt,12,2.5,25,3146.49,3146.49,430433
FR35-2-Handymax-v2-Opt,12,2.5,30,3145.31,3145.31,430434
FR35-2-Handymax-v2-Opt,12,2.5,35,3143.66,3142.86,430435
FR35-2-Handymax-v2-Opt,12,2.5,40,3141.59,3138.48,430436
